As of,Rank,Last_Week_Rank,Title,Type_of_Film,Netflix_Exclusive,Netflix_Release_Date,Days_In_Top_10,Viewership_Score
9/22/20,3,-,The Take,Movie,,16-Sep-20,5,32
9/22/20,4,-,The Smurfs 2,Movie,,15-Sep-20,6,42
9/22/20,5,3,Cobra Kai,TV Show,,28-Aug-20,25,206
9/22/20,6,-,The Devil All the Time,Movie,Yes,16-Sep-20,6,44
9/22/20,7,1,Away,TV Show,Yes,4-Sep-20,18,151
9/22/20,8,-,The Blacklist,TV Show,,15-Sep-14,2,4
9/22/20,9,4,The Social Dilemma,Movie,Yes,9-Sep-20,12,51
9/22/20,10,-,The American Barbecue Showdown,TV Show,Yes,18-Sep-20,1,1
9/23/20,1,-,Ratched,TV Show,Yes,18-Sep-20,5,50
9/23/20,2,-,Jurassic World: Camp Cretac__,TV Show,Yes,18-Sep-20,5,44
9/23/20,3,-,The Take,Movie,,16-Sep-20,6,40
9/23/20,4,-,The Smurfs 2,Movie,,15-Sep-20,7,49
9/23/20,5,2,Cobra Kai,TV Show,,28-Aug-20,26,212
9/23/20,6,-,The Blacklist,TV Show,,15-Sep-14,3,9
9/23/20,7,-,The American Barbecue Showdown,TV Show,Yes,18-Sep-20,2,5
9/23/20,8,1,Away,TV Show,Yes,4-Sep-20,19,154
9/23/20,9,4,The Social Dilemma,Movie,Yes,9-Sep-20,13,53
9/23/20,10,-,The Devil All the Time,Movie,Yes,16-Sep-20,7,45
9/24/20,1,-,Ratched,TV Show,Yes,18-Sep-20,6,60
9/24/20,2,-,Enola Holmes,Movie,Yes,23-Sep-20,1,9
9/24/20,3,-,Jurassic World: Camp Cretac__,TV Show,Yes,18-Sep-20,6,52
9/24/20,4,-,The Take,Movie,,16-Sep-20,7,47
9/24/20,5,6,The Smurfs 2,Movie,,15-Sep-20,8,55
9/24/20,6,-,The Blacklist,TV Show,,15-Sep-14,4,14
9/24/20,7,3,Cobra Kai,TV Show,,28-Aug-20,27,216
9/24/20,8,-,The American Barbecue Showdown,TV Show,Yes,18-Sep-20,3,8
9/24/20,9,2,Away,TV Show,Yes,4-Sep-20,20,156
9/24/20,10,-,Cocomelon,TV Show,,1-Jun-20,16,36
9/25/20,1,-,Ratched,TV Show,Yes,18-Sep-20,7,70
9/25/20,2,-,Enola Holmes,Movie,Yes,23-Sep-20,2,18
9/25/20,3,-,Real Steel,Movie,,24-Sep-20,1,8
9/25/20,4,-,Jurassic World: Camp Cretac__,TV Show,Yes,18-Sep-20,7,59
9/25/20,5,3,The Smurfs 2,Movie,,15-Sep-20,9,61
9/25/20,6,10,The Take,Movie,,16-Sep-20,8,52
9/25/20,7,-,The Blacklist,TV Show,,15-Sep-14,5,18
9/25/20,8,5,Cobra Kai,TV Show,,28-Aug-20,28,219
9/25/20,9,-,The American Barbecue Showdown,TV Show,Yes,18-Sep-20,4,10
9/25/20,10,-,Cocomelon,TV Show,,1-Jun-20,17,37
9/26/20,1,-,Enola Holmes,Movie,Yes,23-Sep-20,3,28
9/26/20,2,1,Ratched,TV Show,Yes,18-Sep-20,8,79
9/26/20,3,-,Real Steel,Movie,,24-Sep-20,2,16
9/26/20,4,2,Jurassic World: Camp Cretac__,TV Show,Yes,18-Sep-20,8,66
9/26/20,5,3,The Smurfs 2,Movie,,15-Sep-20,10,67
9/26/20,6,5,The Take,Movie,,16-Sep-20,9,57
9/26/20,7,-,The Great British Baking Show,TV Show,,3-Oct-15,1,4
9/26/20,8,-,The Blacklist,TV Show,,15-Sep-14,6,21
9/26/20,9,-,Cocomelon,TV Show,,1-Jun-20,18,39
9/26/20,10,7,Cobra Kai,TV Show,,28-Aug-20,29,220
9/27/20,1,-,Enola Holmes,Movie,Yes,23-Sep-20,4,38
9/27/20,2,1,Ratched,TV Show,Yes,18-Sep-20,9,88
9/27/20,3,-,Real Steel,Movie,,24-Sep-20,3,24
9/27/20,4,2,Jurassic World: Camp Cretac__,TV Show,Yes,18-Sep-20,9,73
9/27/20,5,3,The Take,Movie,,16-Sep-20,10,63
9/27/20,6,4,The Smurfs 2,Movie,,15-Sep-20,11,72
9/27/20,7,-,The Good Place,TV Show,,21-Aug-17,1,4
9/27/20,8,8,Cobra Kai,TV Show,,28-Aug-20,30,223
9/27/20,9,-,Cocomelon,TV Show,,1-Jun-20,19,41
9/27/20,10,-,Sneakerheads,TV Show,Yes,25-Sep-20,1,1
9/28/20,1,1,Ratched,TV Show,Yes,18-Sep-20,10,98
9/28/20,2,-,Enola Holmes,Movie,Yes,23-Sep-20,5,47
9/28/20,3,-,Real Steel,Movie,,24-Sep-20,4,32
9/28/20,4,-,The Good Place,TV Show,,21-Aug-17,2,11
9/28/20,5,3,Jurassic World: Camp Cretac__,TV Show,Yes,18-Sep-20,10,79
9/28/20,6,-,Bad Teacher,Movie,,27-Sep-20,1,5
9/28/20,7,-,Sneakerheads,TV Show,Yes,25-Sep-20,2,5
9/28/20,8,2,The Take,Movie,,16-Sep-20,11,66
9/28/20,9,4,The Smurfs 2,Movie,,15-Sep-20,12,74
9/28/20,10,6,Cobra Kai,TV Show,,28-Aug-20,31,224
9/29/20,1,1,Ratched,TV Show,Yes,18-Sep-20,11,108
9/29/20,2,-,Enola Holmes,Movie,Yes,23-Sep-20,6,56
9/29/20,3,-,Real Steel,Movie,,24-Sep-20,5,40
9/29/20,4,-,Bad Teacher,Movie,,27-Sep-20,2,12
9/29/20,5,-,The Good Place,TV Show,,21-Aug-17,3,17
9/29/20,6,2,Jurassic World: Camp Cretac__,TV Show,Yes,18-Sep-20,11,84
9/29/20,7,-,Sneakerheads,TV Show,Yes,25-Sep-20,3,9
9/29/20,8,-,Cocomelon,TV Show,,1-Jun-20,20,44
9/29/20,9,5,Cobra Kai,TV Show,,28-Aug-20,32,226
9/29/20,10,8,The Blacklist,TV Show,,15-Sep-14,7,22
9/30/20,1,1,Ratched,TV Show,Yes,18-Sep-20,12,118
9/30/20,2,-,Bad Teacher,Movie,,27-Sep-20,3,21
9/30/20,3,-,Enola Holmes,Movie,Yes,23-Sep-20,7,64
9/30/20,4,-,Real Steel,Movie,,24-Sep-20,6,47
9/30/20,5,-,The Good Place,TV Show,,21-Aug-17,4,23
9/30/20,6,2,Jurassic World: Camp Cretac__,TV Show,Yes,18-Sep-20,12,89
9/30/20,7,-,Cocomelon,TV Show,,1-Jun-20,21,48
9/30/20,8,-,Sneakerheads,TV Show,Yes,25-Sep-20,4,12
9/30/20,9,6,The Blacklist,TV Show,,15-Sep-14,8,24
9/30/20,10,5,Cobra Kai,TV Show,,28-Aug-20,33,227
10/1/20,1,-,American Murder: The Family__,Movie,Yes,30-Sep-20,1,10
10/1/20,2,1,Ratched,TV Show,Yes,18-Sep-20,13,127
10/1/20,3,-,Bad Teacher,Movie,,27-Sep-20,4,29
10/1/20,4,2,Enola Holmes,Movie,Yes,23-Sep-20,8,71
10/1/20,5,-,The Good Place,TV Show,,21-Aug-17,5,29
10/1/20,6,-,Real Steel,Movie,,24-Sep-20,7,52
10/1/20,7,-,Welcome to Sudden Death,Movie,,29-Sep-20,1,4
10/1/20,8,10,Cocomelon,TV Show,,1-Jun-20,22,51
10/1/20,9,3,Jurassic World: Camp Cretac__,TV Show,Yes,18-Sep-20,13,91
10/1/20,10,-,Wentworth,TV Show,Yes,8-Nov-14,1,1
10/2/20,1,-,American Murder: The Family__,Movie,Yes,30-Sep-20,2,20
10/2/20,2,1,Ratched,TV Show,Yes,18-Sep-20,14,136
10/2/20,3,-,The Outpost,Movie,,1-Oct-20,1,8
10/2/20,4,2,Enola Holmes,Movie,Yes,23-Sep-20,9,78
10/2/20,5,-,The Good Place,TV Show,,21-Aug-17,6,35
10/2/20,6,-,Welcome to Sudden Death,Movie,,29-Sep-20,2,9
10/2/20,7,-,Wentworth,TV Show,Yes,8-Nov-14,2,5
10/2/20,8,-,Bad Teacher,Movie,,27-Sep-20,5,32
10/2/20,9,-,Yogi Bear,Movie,,1-Oct-20,1,2
10/2/20,10,10,Cocomelon,TV Show,,1-Jun-20,23,52
10/3/20,1,-,American Murder: The Family__,Movie,Yes,30-Sep-20,3,30
10/3/20,2,2,Ratched,TV Show,Yes,18-Sep-20,15,145
10/3/20,3,-,The Outpost,Movie,,1-Oct-20,2,16
10/3/20,4,-,Emily in Paris,TV Show,Yes,2-Oct-20,1,7
10/3/20,5,1,Enola Holmes,Movie,Yes,23-Sep-20,10,84
10/3/20,6,-,Welcome to Sudden Death,Movie,,29-Sep-20,3,14
10/3/20,7,7,The Great British Baking Show,TV Show,,3-Oct-15,2,8
10/3/20,8,-,Wentworth,TV Show,Yes,8-Nov-14,3,8
10/3/20,9,-,The Good Place,TV Show,,21-Aug-17,7,37
10/3/20,10,9,Cocomelon,TV Show,,1-Jun-20,24,53
10/4/20,1,-,American Murder: The Family__,Movie,Yes,30-Sep-20,4,40
10/4/20,2,-,Emily in Paris,TV Show,Yes,2-Oct-20,2,16
10/4/20,3,2,Ratched,TV Show,Yes,18-Sep-20,16,153
10/4/20,4,-,The Outpost,Movie,,1-Oct-20,3,23
10/4/20,5,-,Schitt_____ Creek,TV Show,,24-Jan-17,1,6
10/4/20,6,1,Enola Holmes,Movie,Yes,23-Sep-20,11,89
10/4/20,7,-,Welcome to Sudden Death,Movie,,29-Sep-20,4,18
10/4/20,8,-,Wentworth,TV Show,Yes,8-Nov-14,4,11
10/4/20,9,-,Yogi Bear,Movie,,1-Oct-20,2,4
10/4/20,10,9,Cocomelon,TV Show,,1-Jun-20,25,54
10/5/20,1,-,American Murder: The Family__,Movie,Yes,30-Sep-20,5,50
10/5/20,2,-,Emily in Paris,TV Show,Yes,2-Oct-20,3,25
10/5/20,3,-,Schitt_____ Creek,TV Show,,24-Jan-17,2,14
10/5/20,4,1,Ratched,TV Show,Yes,18-Sep-20,17,160
10/5/20,5,-,Evil,TV Show,,1-Oct-20,1,6
10/5/20,6,-,The Outpost,Movie,,1-Oct-20,4,28
10/5/20,7,2,Enola Holmes,Movie,Yes,23-Sep-20,12,93
10/5/20,8,-,Yogi Bear,Movie,,1-Oct-20,3,7
10/5/20,9,-,Welcome to Sudden Death,Movie,,29-Sep-20,5,20
10/5/20,10,-,Cocomelon,TV Show,,1-Jun-20,26,55
10/6/20,1,-,American Murder: The Family__,Movie,Yes,30-Sep-20,6,60
10/6/20,2,-,Emily in Paris,TV Show,Yes,2-Oct-20,4,34
10/6/20,3,-,Schitt_____ Creek,TV Show,,24-Jan-17,3,22
10/6/20,4,1,Ratched,TV Show,Yes,18-Sep-20,18,167
10/6/20,5,-,Evil,TV Show,,1-Oct-20,2,12
10/6/20,6,-,Big Daddy,Movie,,1-Oct-20,1,5
10/6/20,7,-,The Outpost,Movie,,1-Oct-20,5,32
10/6/20,8,-,Colombiana,Movie,,4-Oct-20,1,3
10/6/20,9,8,Cocomelon,TV Show,,1-Jun-20,27,57
10/6/20,10,-,Yogi Bear,Movie,,1-Oct-20,4,8
10/7/20,1,-,American Murder: The Family__,Movie,Yes,30-Sep-20,7,70
10/7/20,2,-,Emily in Paris,TV Show,Yes,2-Oct-20,5,43
10/7/20,3,-,Schitt_____ Creek,TV Show,,24-Jan-17,4,30
10/7/20,4,-,Evil,TV Show,,1-Oct-20,3,19
10/7/20,5,1,Ratched,TV Show,Yes,18-Sep-20,19,173
10/7/20,6,-,American Pie Presents: Girl__,Movie,,6-Oct-20,1,5
10/7/20,7,-,Big Daddy,Movie,,1-Oct-20,2,9
10/7/20,8,-,Colombiana,Movie,,4-Oct-20,2,6
10/7/20,9,-,The Outpost,Movie,,1-Oct-20,6,34
10/7/20,10,7,Cocomelon,TV Show,,1-Jun-20,28,58
10/8/20,1,-,Hubie Halloween,Movie,Yes,7-Oct-20,1,10
10/8/20,2,1,American Murder: The Family__,Movie,Yes,30-Sep-20,8,79
10/8/20,3,-,Emily in Paris,TV Show,Yes,2-Oct-20,6,51
10/8/20,4,-,Schitt_____ Creek,TV Show,,24-Jan-17,5,37
10/8/20,5,-,American Pie Presents: Girl__,Movie,,6-Oct-20,2,11
10/8/20,6,-,Evil,TV Show,,1-Oct-20,4,24
10/8/20,7,2,Ratched,TV Show,Yes,18-Sep-20,20,177
10/8/20,8,8,Cocomelon,TV Show,,1-Jun-20,29,61
10/8/20,9,-,Colombiana,Movie,,4-Oct-20,3,8
10/8/20,10,-,Big Daddy,Movie,,1-Oct-20,3,10
10/9/20,1,-,Hubie Halloween,Movie,Yes,7-Oct-20,2,20
10/9/20,2,1,American Murder: The Family__,Movie,Yes,30-Sep-20,9,88
10/9/20,3,-,Emily in Paris,TV Show,Yes,2-Oct-20,7,59
10/9/20,4,-,Schitt_____ Creek,TV Show,,24-Jan-17,6,44
10/9/20,5,-,American Pie Presents: Girl__,Movie,,6-Oct-20,3,17
10/9/20,6,-,The 100,TV Show,,22-Oct-14,1,5
10/9/20,7,-,Evil,TV Show,,1-Oct-20,5,28
10/9/20,8,2,Ratched,TV Show,Yes,18-Sep-20,21,180
10/9/20,9,10,Cocomelon,TV Show,,1-Jun-20,30,63
10/9/20,10,-,Colombiana,Movie,,4-Oct-20,4,9
10/10/20,1,-,Hubie Halloween,Movie,Yes,7-Oct-20,3,30
10/10/20,2,-,The Haunting of Bly Manor,TV Show,Yes,9-Oct-20,1,9
10/10/20,3,4,Emily in Paris,TV Show,Yes,2-Oct-20,8,67
10/10/20,4,1,American Murder: The Family__,Movie,Yes,30-Sep-20,10,95
10/10/20,5,-,Schitt_____ Creek,TV Show,,24-Jan-17,7,50
10/10/20,6,-,The 100,TV Show,,22-Oct-14,2,10
10/10/20,7,-,American Pie Presents: Girl__,Movie,,6-Oct-20,4,21
10/10/20,8,7,The Great British Baking Show,TV Show,,3-Oct-15,3,11
10/10/20,9,2,Ratched,TV Show,Yes,18-Sep-20,22,182
10/10/20,10,-,Evil,TV Show,,1-Oct-20,6,29
10/11/20,1,-,The Haunting of Bly Manor,TV Show,Yes,9-Oct-20,2,19
10/11/20,2,-,Hubie Halloween,Movie,Yes,7-Oct-20,4,39
10/11/20,3,2,Emily in Paris,TV Show,Yes,2-Oct-20,9,75
10/11/20,4,1,American Murder: The Family__,Movie,Yes,30-Sep-20,11,102
10/11/20,5,5,Schitt_____ Creek,TV Show,,24-Jan-17,8,56
10/11/20,6,-,American Pie Presents: Girl__,Movie,,6-Oct-20,5,26
10/11/20,7,-,The 100,TV Show,,22-Oct-14,3,14
10/11/20,8,3,Ratched,TV Show,Yes,18-Sep-20,23,185
10/11/20,9,-,Evil,TV Show,,1-Oct-20,7,31
10/11/20,10,-,The Great British Baking Show,TV Show,,3-Oct-15,4,12
10/12/20,1,-,The Haunting of Bly Manor,TV Show,Yes,9-Oct-20,3,29
10/12/20,2,-,Hubie Halloween,Movie,Yes,7-Oct-20,5,48
10/12/20,3,2,Emily in Paris,TV Show,Yes,2-Oct-20,10,83
10/12/20,4,-,American Pie Presents: Girl__,Movie,,6-Oct-20,6,33
10/12/20,5,1,American Murder: The Family__,Movie,Yes,30-Sep-20,12,108
10/12/20,6,3,Schitt_____ Creek,TV Show,,24-Jan-17,9,61
10/12/20,7,-,The 100,TV Show,,22-Oct-14,4,18
10/12/20,8,5,Evil,TV Show,,1-Oct-20,8,34
10/12/20,9,4,Ratched,TV Show,Yes,18-Sep-20,24,187
10/12/20,10,10,Cocomelon,TV Show,,1-Jun-20,31,64
10/13/20,1,-,The Haunting of Bly Manor,TV Show,Yes,9-Oct-20,4,39
10/13/20,2,-,Hubie Halloween,Movie,Yes,7-Oct-20,6,57
10/13/20,3,2,Emily in Paris,TV Show,Yes,2-Oct-20,11,91
10/13/20,4,3,Schitt_____ Creek,TV Show,,24-Jan-17,10,68
10/13/20,5,-,The 100,TV Show,,22-Oct-14,5,24
10/13/20,6,-,American Pie Presents: Girl__,Movie,,6-Oct-20,7,38
10/13/20,7,1,American Murder: The Family__,Movie,Yes,30-Sep-20,13,112
10/13/20,8,5,Evil,TV Show,,1-Oct-20,9,37
10/13/20,9,4,Ratched,TV Show,Yes,18-Sep-20,25,189
10/13/20,10,9,Cocomelon,TV Show,,1-Jun-20,32,65
10/14/20,1,-,The Haunting of Bly Manor,TV Show,Yes,9-Oct-20,5,49
10/14/20,2,-,Hubie Halloween,Movie,Yes,7-Oct-20,7,66
10/14/20,3,2,Emily in Paris,TV Show,Yes,2-Oct-20,12,99
10/14/20,4,3,Schitt_____ Creek,TV Show,,24-Jan-17,11,75
10/14/20,5,-,The 100,TV Show,,22-Oct-14,6,30
10/14/20,6,4,Evil,TV Show,,1-Oct-20,10,42
10/14/20,7,1,American Murder: The Family__,Movie,Yes,30-Sep-20,14,116
10/14/20,8,10,Cocomelon,TV Show,,1-Jun-20,33,68
10/14/20,9,6,American Pie Presents: Girl__,Movie,,6-Oct-20,8,40
10/14/20,10,5,Ratched,TV Show,Yes,18-Sep-20,26,190
10/15/20,1,-,The Haunting of Bly Manor,TV Show,Yes,9-Oct-20,6,59
10/15/20,2,1,Hubie Halloween,Movie,Yes,7-Oct-20,8,75
10/15/20,3,3,Emily in Paris,TV Show,Yes,2-Oct-20,13,107
10/15/20,4,4,Schitt_____ Creek,TV Show,,24-Jan-17,12,82
10/15/20,5,-,The 100,TV Show,,22-Oct-14,7,36
10/15/20,6,-,The Cabin with Bert Kreischer,TV Show,Yes,13-Oct-20,1,5
10/15/20,7,6,Evil,TV Show,,1-Oct-20,11,46
10/15/20,8,-,Moneyball,Movie,,14-Oct-20,1,3
10/15/20,9,8,Cocomelon,TV Show,,1-Jun-20,34,70
10/15/20,10,2,American Murder: The Family__,Movie,Yes,30-Sep-20,15,117
10/16/20,1,-,The Haunting of Bly Manor,TV Show,Yes,9-Oct-20,7,69
10/16/20,2,1,Hubie Halloween,Movie,Yes,7-Oct-20,9,84
10/16/20,3,3,Emily in Paris,TV Show,Yes,2-Oct-20,14,115
10/16/20,4,-,Moneyball,Movie,,14-Oct-20,2,10
10/16/20,5,4,Schitt_____ Creek,TV Show,,24-Jan-17,13,88
10/16/20,6,6,The 100,TV Show,,22-Oct-14,8,41
10/16/20,7,-,The Cabin with Bert Kreischer,TV Show,Yes,13-Oct-20,2,9
10/16/20,8,7,Evil,TV Show,,1-Oct-20,12,49
10/16/20,9,-,One on One,TV Show,,15-Oct-20,1,2
10/16/20,10,9,Cocomelon,TV Show,,1-Jun-20,35,71
10/17/20,1,2,The Haunting of Bly Manor,TV Show,Yes,9-Oct-20,8,79
10/17/20,2,1,Hubie Halloween,Movie,Yes,7-Oct-20,10,93
10/17/20,3,-,Moneyball,Movie,,14-Oct-20,3,18
10/17/20,4,-,The Trial of the Chicago 7,Movie,Yes,16-Oct-20,1,7
10/17/20,5,3,Emily in Paris,TV Show,Yes,2-Oct-20,15,121
10/17/20,6,-,A Babysitter_____ Guide to Mon__,Movie,Yes,15-Oct-20,1,5
10/17/20,7,8,The Great British Baking Show,TV Show,,3-Oct-15,5,16
10/17/20,8,5,Schitt_____ Creek,TV Show,,24-Jan-17,14,91
10/17/20,9,-,The Cabin with Bert Kreischer,TV Show,Yes,13-Oct-20,3,11
10/17/20,10,10,Evil,TV Show,,1-Oct-20,13,50
10/18/20,1,1,The Haunting of Bly Manor,TV Show,Yes,9-Oct-20,9,89
10/18/20,2,2,Hubie Halloween,Movie,Yes,7-Oct-20,11,102
10/18/20,3,-,The Trial of the Chicago 7,Movie,Yes,16-Oct-20,2,15
10/18/20,4,-,Moneyball,Movie,,14-Oct-20,4,25
10/18/20,5,3,Emily in Paris,TV Show,Yes,2-Oct-20,16,127
10/18/20,6,-,A Babysitter_____ Guide to Mon__,Movie,Yes,15-Oct-20,2,10
10/18/20,7,5,Schitt_____ Creek,TV Show,,24-Jan-17,15,95
10/18/20,8,9,Evil,TV Show,,1-Oct-20,14,53
10/18/20,9,-,Cocomelon,TV Show,,1-Jun-20,36,73
10/18/20,10,10,The Great British Baking Show,TV Show,,3-Oct-15,6,17
10/19/20,1,1,The Haunting of Bly Manor,TV Show,Yes,9-Oct-20,10,99
10/19/20,2,2,Hubie Halloween,Movie,Yes,7-Oct-20,12,111
10/19/20,3,-,The Trial of the Chicago 7,Movie,Yes,16-Oct-20,3,23
10/19/20,4,3,Emily in Paris,TV Show,Yes,2-Oct-20,17,134
10/19/20,5,-,Moneyball,Movie,,14-Oct-20,5,31
10/19/20,6,-,A Babysitter_____ Guide to Mon__,Movie,Yes,15-Oct-20,3,15
10/19/20,7,6,Schitt_____ Creek,TV Show,,24-Jan-17,16,99
10/19/20,8,8,Evil,TV Show,,1-Oct-20,15,56
10/19/20,9,-,Dream Home Makeover,TV Show,Yes,16-Oct-20,1,2
10/19/20,10,10,Cocomelon,TV Show,,1-Jun-20,37,74
10/20/20,1,1,The Haunting of Bly Manor,TV Show,Yes,9-Oct-20,11,109
10/20/20,2,-,Unsolved Mysteries,TV Show,Yes,1-Jul-20,23,167
10/20/20,3,2,Hubie Halloween,Movie,Yes,7-Oct-20,13,119
10/20/20,4,3,Emily in Paris,TV Show,Yes,2-Oct-20,18,141
10/20/20,5,-,The Trial of the Chicago 7,Movie,Yes,16-Oct-20,4,29
10/20/20,6,4,Schitt_____ Creek,TV Show,,24-Jan-17,17,104
10/20/20,7,-,Moneyball,Movie,,14-Oct-20,6,35
10/20/20,8,10,Cocomelon,TV Show,,1-Jun-20,38,77
10/20/20,9,8,Evil,TV Show,,1-Oct-20,16,58
10/20/20,10,-,Dream Home Makeover,TV Show,Yes,16-Oct-20,2,3
10/21/20,1,-,Unsolved Mysteries,TV Show,Yes,1-Jul-20,24,177
10/21/20,2,1,The Haunting of Bly Manor,TV Show,Yes,9-Oct-20,12,118
10/21/20,3,3,Emily in Paris,TV Show,Yes,2-Oct-20,19,149
10/21/20,4,2,Hubie Halloween,Movie,Yes,7-Oct-20,14,126
10/21/20,5,4,Schitt_____ Creek,TV Show,,24-Jan-17,18,110
10/21/20,6,8,Cocomelon,TV Show,,1-Jun-20,39,82
10/21/20,7,6,Evil,TV Show,,1-Oct-20,17,62
10/21/20,8,-,The Trial of the Chicago 7,Movie,Yes,16-Oct-20,5,32
10/21/20,9,-,Tremors: Shrieker Island,Movie,,20-Oct-20,1,2
10/21/20,10,-,Grand Army,TV Show,Yes,16-Oct-20,1,1
10/22/20,1,-,Unsolved Mysteries,TV Show,Yes,1-Jul-20,25,187
10/22/20,2,1,The Haunting of Bly Manor,TV Show,Yes,9-Oct-20,13,127
10/22/20,3,-,Rebecca,Movie,Yes,21-Oct-20,1,8
10/22/20,4,-,My Next Guest Needs No Intr__,TV Show,Yes,12-Jan-18,1,7
10/22/20,5,3,Emily in Paris,TV Show,Yes,2-Oct-20,20,155
10/22/20,6,-,Tremors: Shrieker Island,Movie,,20-Oct-20,2,7
10/22/20,7,2,Hubie Halloween,Movie,Yes,7-Oct-20,15,130
10/22/20,8,-,Grand Army,TV Show,Yes,16-Oct-20,2,4
10/22/20,9,4,Schitt_____ Creek,TV Show,,24-Jan-17,19,112
10/22/20,10,9,Cocomelon,TV Show,,1-Jun-20,40,83
10/23/20,1,-,Unsolved Mysteries,TV Show,Yes,1-Jul-20,26,197
10/23/20,2,1,The Haunting of Bly Manor,TV Show,Yes,9-Oct-20,14,136
10/23/20,3,-,Rebecca,Movie,Yes,21-Oct-20,2,16
10/23/20,4,-,My Next Guest Needs No Intr__,TV Show,Yes,12-Jan-18,2,14
10/23/20,5,-,Grand Army,TV Show,Yes,16-Oct-20,3,10
10/23/20,6,-,"Yes, God, Yes",Movie,,22-Oct-20,1,5
10/23/20,7,-,Tremors: Shrieker Island,Movie,,20-Oct-20,3,11
10/23/20,8,10,Cocomelon,TV Show,,1-Jun-20,41,86
10/23/20,9,3,Emily in Paris,TV Show,Yes,2-Oct-20,21,157
10/23/20,10,5,Schitt_____ Creek,TV Show,,24-Jan-17,20,113
10/24/20,1,-,Unsolved Mysteries,TV Show,Yes,1-Jul-20,27,207
10/24/20,2,-,My Next Guest Needs No Intr__,TV Show,Yes,12-Jan-18,3,23
10/24/20,3,-,Over the Moon,Movie,Yes,23-Oct-20,1,8
10/24/20,4,1,The Haunting of Bly Manor,TV Show,Yes,9-Oct-20,15,143
10/24/20,5,-,Rebecca,Movie,Yes,21-Oct-20,3,22
10/24/20,6,-,Barbarians,TV Show,Yes,23-Oct-20,1,5
10/24/20,7,-,"Yes, God, Yes",Movie,,22-Oct-20,2,9
10/24/20,8,7,The Great British Baking Show,TV Show,,3-Oct-15,7,20
10/24/20,9,-,Grand Army,TV Show,Yes,16-Oct-20,4,12
10/24/20,10,-,The Queen_____ Gambit,TV Show,Yes,23-Oct-20,1,1
10/25/20,1,-,The Queen_____ Gambit,TV Show,Yes,23-Oct-20,2,11
10/25/20,2,-,Unsolved Mysteries,TV Show,Yes,1-Jul-20,28,216
10/25/20,3,-,Over the Moon,Movie,Yes,23-Oct-20,2,16
10/25/20,4,-,My Next Guest Needs No Intr__,TV Show,Yes,12-Jan-18,4,30
10/25/20,5,-,Barbarians,TV Show,Yes,23-Oct-20,2,11
10/25/20,6,-,Rebecca,Movie,Yes,21-Oct-20,4,27
10/25/20,7,1,The Haunting of Bly Manor,TV Show,Yes,9-Oct-20,16,147
10/25/20,8,-,Grand Army,TV Show,Yes,16-Oct-20,5,15
10/25/20,9,2,Hubie Halloween,Movie,Yes,7-Oct-20,16,132
10/25/20,10,-,"Yes, God, Yes",Movie,,22-Oct-20,3,10
10/26/20,1,-,The Queen_____ Gambit,TV Show,Yes,23-Oct-20,3,21
10/26/20,2,-,Over the Moon,Movie,Yes,23-Oct-20,3,25
10/26/20,3,-,Barbarians,TV Show,Yes,23-Oct-20,3,19
10/26/20,4,-,Unsolved Mysteries,TV Show,Yes,1-Jul-20,29,223
10/26/20,5,-,My Next Guest Needs No Intr__,TV Show,Yes,12-Jan-18,5,36
10/26/20,6,1,The Haunting of Bly Manor,TV Show,Yes,9-Oct-20,17,152
10/26/20,7,-,Rebecca,Movie,Yes,21-Oct-20,5,31
10/26/20,8,-,Grand Army,TV Show,Yes,16-Oct-20,6,18
10/26/20,9,2,Hubie Halloween,Movie,Yes,7-Oct-20,17,134
10/26/20,10,-,"Yes, God, Yes",Movie,,22-Oct-20,4,11
10/27/20,1,-,The Queen_____ Gambit,TV Show,Yes,23-Oct-20,4,31
10/27/20,2,-,Barbarians,TV Show,Yes,23-Oct-20,4,28
10/27/20,3,-,Over the Moon,Movie,Yes,23-Oct-20,4,33
10/27/20,4,2,Unsolved Mysteries,TV Show,Yes,1-Jul-20,30,230
10/27/20,5,1,The Haunting of Bly Manor,TV Show,Yes,9-Oct-20,18,158
10/27/20,6,-,My Next Guest Needs No Intr__,TV Show,Yes,12-Jan-18,6,41
10/27/20,7,-,Grand Army,TV Show,Yes,16-Oct-20,7,22
10/27/20,8,8,Cocomelon,TV Show,,1-Jun-20,42,89
10/27/20,9,-,Rebecca,Movie,Yes,21-Oct-20,6,33
10/27/20,10,6,Schitt_____ Creek,TV Show,,24-Jan-17,21,114
10/28/20,1,-,The Queen_____ Gambit,TV Show,Yes,23-Oct-20,5,41
10/28/20,2,-,Barbarians,TV Show,Yes,23-Oct-20,5,37
10/28/20,3,-,Over the Moon,Movie,Yes,23-Oct-20,5,41
10/28/20,4,-,Blood of Zeus,TV Show,Yes,27-Oct-20,1,7
10/28/20,5,1,Unsolved Mysteries,TV Show,Yes,1-Jul-20,31,236
10/28/20,6,2,The Haunting of Bly Manor,TV Show,Yes,9-Oct-20,19,163
10/28/20,7,10,Grand Army,TV Show,Yes,16-Oct-20,8,26
10/28/20,8,-,My Next Guest Needs No Intr__,TV Show,Yes,12-Jan-18,7,44
10/28/20,9,6,Cocomelon,TV Show,,1-Jun-20,43,91
10/28/20,10,5,Schitt_____ Creek,TV Show,,24-Jan-17,22,115
